year,rank,top_100,name,pos,player_type,age,ht,wt,bats,throws,school,college_commit,future_value,plus,risk,report,video,frame,athleticism,levers,arm,statistical_performance,delivery
2021,27,,Braden Montgomery,SP/SS,HSp,18.24,74,201,S,R,Madison Central HS,Stanford,40,Y,High,"Montgomery is very likely to end up at Stanford rather than be picked in this draft, so while he's a late first round prospect right now, he's a name to stash and watch for the 2024 draft coming out of college. A two-way player, Montgomery has above-average bat speed from both sides of the plate but his swing elements are raw from both sides, especially the left. There's more bat control from the right side but general concerns about swing playability cause one to prefer him on the mound. This is the best on-mound athlete in the draft. He's 89-92, with a really gorgeous delivery, and a breaking ball that has shape but not bite yet. He's a dev project with a chance for growth based on considerable athleticism.",https://www.youtube.com/results?search_query=braden+montgomery+mlb+draft,2,2,Med,,0,2
2021,28,,Frank Mozzicato,SP,HSp,18.06,75,170,L,L,East Catholic HS,UConn,40,Y,High,"It’s tough to measure the performance of Northeast prep players due to the level of competition, but Mozzicato certainly performed this spring, throwing a one-hit, 17-strikeout shutout in the state championship game and ending his year with a 49.2 inning scoreless streak. He’s good-frame, athletic southpaw with clean mechanics and while his fastball doesn’t light-up the radar guns at 90-92 mph, scouts are near universal in their projection of more velocity to come. His best pitch is a present plus curveball with heavy downward action that checks plenty of team’s analytical boxes. He’ll flash a rare changeup that should end up average. Mizzicato throws a lot of strikes, but like most prep arms, will need to learn how to command within the zone. He might need a bit more seasoning than other seven-figure high school pitchers, but provides middle-of-the-rotation upside.",https://www.youtube.com/results?search_query=frank+mozzicato+mlb+draft,0,1,Long,,0,0
2021,29,,Will Taylor,SS,HSh,18.50,72,175,R,R,Dutch Fork HS,Clemson,40,Y,High,"Taylor is a three-sport athlete (two-time wrestling state champ, football, baseball) committed to Clemson to play two (baseball and football), but he might come off the board early enough to sign rather than get to campus. Taylor can absolutely fly and he puts on an impressive show for someone his size during BP. Though he's got a somewhat slight frame, Taylor has the sinewy strength of a wrestler and has promising pull-side pop, though he's more contact-oriented in games. He's a fantastic developmental prospect will four- or five-tool potential.",https://www.youtube.com/results?search_query=will+taylor+mlb+draft,1,2,Short,45,0,0
2021,30,,Carson Williams,SS/SIRP,HSh,18.04,72,180,R,R,Torrey Pines HS,Cal,40,Y,High,"Williams belongs to one of the more attractive draft profiles as a middle infielder from southern California who has performed well. Williams has the clock and actions to remains at shortstop long-term, as well as one of the better infield arms in the class. He answered some questions about his power this spring as nearly half of his hits went for extra bases as he kept his average above .500 against strong competition. He’s a solid runner who stole 33 bases in 29 games this spring. The total package has everyday shortstop possibilities, which could move him into the back of the first round. He turns 18 just two weeks before the draft, which also helps his stock.",https://www.youtube.com/results?search_query=carson+williams+mlb+draft,1,1,Long,70,0,0
2021,31,,Aaron Zavala,3B,ColH,21.05,72,193,L,R,Oregon,,40,Y,Med,"Zavala’s profile reads like West Coast Michael Busch. He’s a premium performance lefty stick with some past experience at a more favorable defensive position than he’s playing now. Zavala spent all of 2021 in right field but played third base during the shortened 2020. While definitely well-below average there (several of those games were against Grand Canyon), Zavala was able to make easy plays and it’s worth a try in pro ball to see if he can improve enough to stick. 
His bat is the carrying attribute, though. Zavala is very physical, he has above-average bat control, and a great idea of the strike zone and in which parts of it he’s capable of doing damage. He walked 50 times and struck out just 31 in 2020 while slashing .392/.525/.628 in the Pac-12. Zavala can turn on mistakes up, and while he doesn’t always cover the outer third, he typically does a good job laying off pitches that are out there, and if they catch enough of the plate he can drive them the other way with power. He also has an advanced two-strike approach. We think that once clubs start to have meetings and the results of draft models become known, Zavala will rise as high as the back of round one. Big conference lefty sticks with hit/power/approach troikas aren’t exactly common, and Zavala is barely going to be 21 on draft day. All it’s going to take is a team thinking that Zavala can actually play third base for him to go that early.",https://www.youtube.com/results?search_query=aaron+zavala+mlb+draft,0,-1,Med,40,2,0
2021,32,,Anthony Solometo,SP,HSp,18.61,77,218,L,L,Gloucester Catholic HS,North Carolina,40,Y,High,"Solometo's delivery garners Madison Bumgarner comps because of his long lefty arm swing. He only sits in the 87-91 range right now (has been up to 94) but Solometo commands it to his arm side and the pitch has impact tailing action. His delivery also creates tough angle on a sweeping slider, which is really his only secondary pitch right now. It will be a long-term weapon against righties and lefties, though. SOlometo's feel for locating those pitches give him start projection even though he needs a third pitch. ",https://www.youtube.com/results?search_query=anthony+solometo+mlb+draft,0,0,Long,,0,0
2021,33,,Tyler Black,2B,ColH,20.96,74,190,L,R,Wright St.,,40,Y,Med,"A big performer from a smaller school, Black has shown enough against good competition early and late in the season to provide more comfort to scouts in a high selection. With an outstanding feel for the strike zone, Black waits for pitches to drive and then does just that, showing average power from the left side with a mechanically sound swing that produces a lot of contact. His approach can waiver from patient to passive at times, and he’ll need to add some aggression to game as a pro. A lack of twitch and a fringy arm limit him to the right side of the infield, but the team who selects Frank is doing so because of the bat.",https://www.youtube.com/results?search_query=tyler+black+mlb+draft,0,0,Short,45,2,0
2021,34,,Ethan Wilson,LF,ColH,21.68,74,205,L,L,South Alabama,,40,Y,High,"Wilson is a small school hitter with strikeout issues, which is a bit scary, but he also has monster power that he's gotten to in games throughout his college career despite his strikeouts.",https://www.youtube.com/results?search_query=ethan+wilson+mlb+draft,0,-1,Short,50,1,0
2021,35,,Matheu Nelson,C,ColH,22.53,71,195,R,R,Florida St.,,40,Y,Med,"Nelson was a draft-eligible sophomore in 2020 but he had a bad, short stretch before the COVID shutdown, striking out in about a third of his at-bats. He went undrafted. Then, in his junior year, Nelson slugged .773 and hit 23 bombs while posting a more managable strikeout rate and doing an acceptable job behind the plate. Nelson is a palatable receiver (one knee, then squats w/ two strikes and rummers on) who can post sub-two-second pop times from his knees, though not often with precise accuracy. Nelson is a willing but unskilled ball blocker, which is the part of his game that needs to most immediate polish. Huge power and an ability to play a premium position put him in the comp round area.",https://www.youtube.com/results?search_query=matheu+nelson+mlb+draft,-1,-1,Med,55,1,0
2021,36,,Matt Mikulski,MIRP,ColP,22.18,76,205,L,L,Fordham,,45,,High,"A senior at Fordham, Mikulski’s velocity has exploded and his strike-throwing has improved, changes that coincide with a shortened arm action. He’s gone from topping out around 94 to sitting 93-96 and topping out around 100, per Synergy Sports. Mikulski’s delivery is pretty violent and he has a nasty head whack but he also has pretty consistent feel for all four of his pitches, especially his changeup. Where Mikulski ends up being drafted will probably be impacted by his signability. He’s a senior and has less leverage than someone with more college eligibility remaining, which means a team might want to take him early for an underslot bonus and then try to sign a falling high schooler to an overslot deal later. We saw a version of this happen with Landon Knack last year, but Mikulski has a better chance to start and has performed against slightly better competition. There's relief risk here because of the mechanical stiffness, but Mikulski's pitch execution with the new delivery has been pretty consistent. He may end up a multi-inning power reliever in the end, but that still fits toward the back of the first round.",https://www.youtube.com/results?search_query=matt+mikulski+mlb+draft,-1,-1,Short,,1,-1
2021,37,,Jaden Hill,MIRP,ColP,21.55,76,215,R,R,LSU,,40,Y,High,"Hill was built like a quarterback in high school and had a fastball that sat 90-94 and an easy plus changeup, but he was unspeakably wild and ended up at LSU. He showed occasional feel to pitch as a Tiger freshman and looked to be turning the corner in the weekend rotation when he went down with a strained UCL. He didn't pitch in the fall but was ready to go for his sophomore spring and was up to 97 in the preseason before being up to 99 during the early part of the shortened 2020 campaign. After generating mixed results early in 2021, Hill blew out and needed Tommy John. In addition to his changeup, Hill has two breaking balls (LSU calls them a slider and cutter, but they have more curve/modern slider sensibilities), the best of which is a slider/cutter in the 88-90 mph range. He looks like a late-inning power bullpen arm.",https://www.youtube.com/results?search_query=jaden+hill+mlb+draft,1,1,Med,,0,-1
2021,38,,Max Muncy,SS,HSh,18.88,73,180,R,R,Thousand Oaks HS,UCLA,40,Y,High,"He’s a middle infielder with some power, his name is Max Muncy, and somehow he is of no relation to the current Dodger. Muncy’s best tool is his power, as he had nine doubles and 10 home runs in 93 at-bats this spring against a very high level of high school competition. His swings hard at everything, and showed a tendency to strike out at times, leading some to put a power-over-hit tag on him. He has the fundamentals to be a solid defender, but as an average runner with an average arm, he has left some scouts to worry about a potential move to second base, where his power should still play.",https://www.youtube.com/results?search_query=max+muncy+mlb+draft,0,0,Med,,1,0
2021,39,,Alex Binelas,3B,ColH,21.13,75,210,L,R,Louisville,,40,Y,Low,"Binelas' triple slash line as a freshman (.291/.383/.612) put him in this draft class' first round mix, even though he doesn't have premium physical tools. His peripherals (a 20% strikeout rate, twice his walk rate) were not as dominant, and scouts were eager to see if Binelas could repeat or improve upon his 2019, but a wrist injury and COVID-19 limited him to just two games in 2020. Then he struggled early in 2020 before getting hot for about a month in the middle of the college season, and then again during conference tournament play. Binelas is short to the ball and has big, majestic power but his swing is fairly grooved. He struggles with fastballs up and away from him and has a somewhat scary strikeout-to-walk ratio for a corner infielder. He doesn't have an especially projectable frame and though he's worked to get himself in better shape than he was in as a freshman, Binelas projects to first base for most scouts. He looks like a corner platoon bat that could move quickly.",https://www.youtube.com/results?search_query=alex+binelas+mlb+draft,-1,-1,Short,40,1,0
2021,40,,Reed Trimble,CF,ColH,21.10,72,180,S,R,Southern Miss.,,40,Y,High,"Trimble hit .345/.414/.638 this year, and the Southern Miss schedule was no cakewalk even though they’re a mid-major. It included 12 games against eventual regional host and top-16 team Louisiana Tech, as well as games against Mississippi State, Alabama, Florida State and Ole Miss, and four against South Alabama, who made a deep regional run. Trimble does have an expansive approach and is apt to chase, but he is ultra toolsy for a smaller-framed prospect. A switch-hitter, he is an explosive rotator from both sides of the plate. He has pull-side power as a righty hitter but will take you deep to any field from the left side. Both of his swings have natural loft, but they’re not all that long because Trimble is so compact. He’s also a plus runner with gap-to-gap range in center field and an above-average arm (he can get a little carried away trying to throw guys out), so there’s room for him to profile even if the approach hurts his offensive production. Also remember Trimble missed most of his true freshman season because of the pandemic. I’m less apt to think/hope that hitters can develop ball/strike recognition over time, but some of the players whose key career years overlap with the pandemic have had so few reps that perhaps there are some exceptions to this floating around. Plus, these kinds of players’ plate discipline rate stats are less reliable than usual because they’ve generated smaller career samples due to the lost year. On tools and performance, Trimble belongs in the early Day Two mix.",https://www.youtube.com/results?search_query=reed+trimble+mlb+draft,0,2,Short,55,1,0
2021,41,,Thatcher Hurd,SP,HSp,18.59,76,205,R,R,Mira Costa HS,UCLA,40,Y,High,"Hurd checks all the proverbial boxes. He has a big, projectable PAC-12 quarterback frame, he throws somewhat hard and might throw harder as he fills out, he has feel for one great breaking ball and another that needs refining, and he has nascent changeup feel. Hurd came out in January sitting 88-92 and either stayed there or pitched just beneath that range all spring. A velo bump would've put him in the Mozzicato/Solometo mix but now he's looking more likely to go to school now.",https://www.youtube.com/results?search_query=thatcher+hurd+mlb+draft,2,1,Med,,0,-1
2021,42,,Michael McGreevy,SP,ColP,21.01,76,100,R,R,UC Santa Barbara,,40,Y,High,"A converted infielder with a huge frame, McGreevy has added significant velocity over the last year. He sat 90-92 throughout most of 2020 but was into the mid-90s during the Fall and for most of 2021. He works with four pitches and has feel for spinning both breaking balls, though the two of them come out of very different arm slots. Mostly, this is an athletic, young strike-thrower who teams think can and will throw harder. It's a sinker/changeup mix with the two breaking balls that need polish so they're not easy to tell apart out of hand. McGreevy's velocity was way down in his final start of 2021 and he sat 90-92 as opposed to the mid-90s. That plus the sinker profile slid him here, though his draft homes start in the middle of round one. There are obvious late-bloomer traits here.",https://www.youtube.com/results?search_query=michael+mcgreevy+mlb+draft,1,1,Long,,0,1
2021,43,,Adrian Del Castillo,C,ColH,21.79,71,205,L,R,Miami,,40,Y,Med,"Del Castillo had more walks than strikeouts as a freshman while slugging 12 homers, 22 doubles, and playing some third base and right field in addition to catching. He followed that up with a good summer on Cape Cod and start to his COVID-shortened 2020 sophomore year, then he struggled to hit for any power in 2021. He's a contact-oriented hitter who peppers the opposite baseline with flares and line drives, so while he has the power to punish mistakes, Del Castillo projects to have a hit-tool driven profile. His receiving and throwing are okay, enough that he'll likely remain a catcher, but he doesn't project as an impact defender. Scouts were disappointed with his spring and he fell from the middle of round one into the second round, where some teams have him solely out of obligation to his previous track record.",https://www.youtube.com/results?search_query=adrian+del+castillo+mlb+draft,-2,-1,Med,45,2,0
2021,44,,Will Bednar,SP,ColP,21.08,74,230,R,R,Mississippi St.,,40,Y,High,"Brother of Padres prospect David Bednar, Will is a strong-bodied righty who has been up to 96 and has some feel for a loopy, shapely curveball and a harder slider. He had shoulder tendonitis as a prep senior, which helped push him to school, and he is a draft-eligible sophomore for the Bulldogs. He's not especially athletic but could have a plus fastball/slider combo that enables him to pitch in relief if starting doesn't work out. ",https://www.youtube.com/results?search_query=will+bednar+mlb+draft,-1,-1,Long,,1,-1
2021,45,,Colson Montgomery,SS,HSh,19.37,76,190,L,R,Southridge HS (IN),Indiana,40,Y,High,"Power is Montgomery's calling card, but he's a big kid who will need to move to third base as a pro, and there are some questions about the pure hit tool.",https://www.youtube.com/results?search_query=colson+montgomery+mlb+draft,2,1,Long,,0,0
2021,46,,Tommy Mace,SP,ColP,22.67,78,230,R,R,Florida,,40,Y,Low,"Mace was eligible in 2020 but went undrafted due to a gap between where the industry had him and where he felt he'd go if he pitched better the following year, and Mace was right. He's now slated to go in the second round as a four-pitch 4/5 starter prospect with fiery on-mound presence.",https://www.youtube.com/results?search_query=tommy+mace+mlb+draft,0,0,Med,,0,0
2021,47,,Maddux Bruns,SIRP,HSp,19.06,74,210,L,L,UMS-Wright Prep HS,Mississippi St.,40,Y,High,"Huge-framed lefty with max-effort delivery. up to 97 with carry, vertical breaking ball in mid-80s. Big relief risk, is 19 on draft day, but has power stuff similar to Max Fried coming out.",https://www.youtube.com/results?search_query=maddux+bruns+mlb+draft,0,0,Long,,0,1
2021,48,,Lonnie White,CF,HSh,18.53,73,195,R,R,Malvern Prep HS,Penn St.,40,Y,High,"White changed his commitment from Clemson baseball to Penn State football (WR). He has center field skills, and a chance for above average raw power if he can hit. ",https://www.youtube.com/results?search_query=lonnie+white+jr+mlb+draft,1,1,Med,,-1,0
2021,49,,Chase Petty,SIRP,HSp,18.27,75,175,R,R,Mainland HS,Florida,40,Y,High,Petty has upper-90s heat and an arm action very similar to 2020 first rounder Bobby Miller. It's a relief look but he has power stuff with big tailing action on the fastball and late bite to a plus slider. His changeup also flashes above-average. ,https://www.youtube.com/results?search_query=chase+petty+mlb+draft,0,1,Med,,0,-2
2021,50,,Ben Kudrna,SP,HSp,18.45,75,183,R,R,Blue Valley SW HS,LSU,40,Y,High,"Kudrna has a big frame, a really loose and flexible delivery, and is well-balanced, up to 94, sitting 89-92. He also has feel for spinning a curveball. His frame and feel for spin put him in the upper 40 FV tier.",https://www.youtube.com/results?search_query=ben+kudrna+mlb+draft,1,1,Med,,0,0
2021,51,,Jay Allen,RF,HSh,18.64,75,190,R,R,John Carroll HS,Florida,40,Y,High,"Allen is a big, athletic future corner outfielder with the potential for speed and power, but also some questions on the overall hit tool. ",https://www.youtube.com/results?search_query=jay+allen+mlb+draft,1,0,Med,,0,0
2021,52,,Gage Jump,MIRP,HSp,18.25,71,170,L,L,JSerra Catholic HS,UCLA,40,Y,High,"Jump is coming along at an opportune time, when his underlying fastball traits are more desired than ever across the industry. His fastball has near perfect backspin and a flat approach angle, which enables it to miss bats at the top of the zone with impunity even though he only sits about 92, à la Colin Poche, Kris Bubic and (again, this is just an arm stroke/fastball traits/angle comp) Clayton Kershaw. He also has a biting 12-6 curveball, and a slider and changeup that aren't switched on just yet. Jump struggles to throw strikes. He lacks overt physical projection but he could have an elite fastball if he can develop even just a bit more velocity. He has a big ceiling, and a realistic fastball-dominant relief low-end outcome. ",https://www.youtube.com/results?search_query=gage+jump+mlb+draft,0,-1,Short,,0,1
2021,53,,Alex Mooney,SS,HSh,19.01,73,170,R,R,Orchard Lake St. Mary's Prep HS,Duke,40,,Med,"Mooney is old for the class, but he's also a well-balanced player with above average potential tools across the board.",https://www.youtube.com/results?search_query=alex+mooney+mlb+draft,0,0,Med,55,1,0
2021,54,,Chase Burns,SIRP,HSp,18.51,76,215,R,R,Beech HS,Tennessee,40,,High,"Prototypical power frame who has touched 100 mph this spring, Burns is more frequently in the mid-90s with secondary offerings that remain on the raw side. He's a high risk/high upside propositon.",https://www.youtube.com/results?search_query=chase+burns+mlb+draft,0,0,Med,,0,-1
2021,55,,Josh Hartle,SP,HSp,18.30,77,175,L,L,Reagan HS,Wake Forest,40,,High,"Hartle is a lanky lefty with 40 present stuff but huge projection. He has fairly advanced feel for locating but there's arm deceleration on his changeup right now. Because he didn't have a velo spike as a senior, he may end up going to Wake Forest where they tend to get guys to throw harder.",https://www.youtube.com/results?search_query=josh+hartle+mlb+draft,2,1,Med,,0,1
2021,56,,Caedmon Parker,SP,HSp,18.11,77,185,R,R,The Woodlands Christian HS,TCU,40,,High,Parker's stuff has been trending up for a while and he's so projectable that it may not stop any time soon. He had one very strong inning in his first start of the spring and flashed a 70-grade curveball before falling off later in the outing. In general he fits in the $1 million high school pitcher mold.,https://www.youtube.com/results?search_query=caedmon+parker+mlb+draft,2,0,Long,,0,1
2021,57,,Davis Diaz,SS,HSh,18.36,71,175,R,R,Acalanes HS,Vanderbilt,40,,Med,"An East Bay product who performed well in the summer circuit, Davis is a contact machine with great baseball instincts, but his lack of strength at the plate is a concern. He intrigued some scouts this spring by catching at times, and some have talked about developing him there as a pro.",https://www.youtube.com/results?search_query=davis+diaz+mlb+draft,-1,0,Med,,0,0
2021,58,,Tre Sweeney,3B,ColH,21.21,76,200,L,R,Eastern Ill.,,40,,Med,"Scouts are attracted to Sweeney's pro frame (he's 6-foot-4 and 210), outstanding plate discipline and plus raw power, but he'll need to hit as his lack of athleticism will dictate a move to the hot corner as a pro.",https://www.youtube.com/results?search_query=tre+sweeney+mlb+draft,1,0,Med,,1,0
2021,59,,Peyton Wilson,2B,ColH,21.67,69,180,S,R,Alabama,,40,,High,"A little infielder with plus-plus wheels and gap power, Wilson still has questions on his hit tool, but his athleticism and ability to play multiple positions could land him as high as the second round.",https://www.youtube.com/results?search_query=peyton+wilson+mlb+draft,0,1,Short,,0,0
2021,60,,Izaac Pacheco,3B,HSh,18.65,76,200,L,R,Friendswood HS,Texas A&M,40,,Med,"Of the non-first base high school infielders near the top of the 2021 draft class, Pacheco has the most obvious route to in-game power production. His swing has natural lift and looks an awful lot like that of Cardinals prospect Nolan Gorman. Pacheco has a low-ball proclivity and with that comes swing and miss issues. His frame has sizable power projection, though adding 20-plus pounds probably mean he's likely a third baseman long-term, though he's playing shortstop for now.",https://www.youtube.com/results?search_query=izaac+pacheco+mlb+draft,1,0,Med,60,0,0
2021,61,,Peyton Stovall,2B,HSh,18.41,72,180,L,R,Haughton HS,Arkansas,40,,Med,"Stovall doesn't have a lot of tools, but he has the one the matters the most as one of the best pure hitters in the high school class. ",https://www.youtube.com/results?search_query=peyton+stovall+mlb+draft,0,0,Short,,1,0
2021,62,,Luca Tresh,C,ColH,21.50,72,193,L,R,NC State,,40,,Med,"A catcher with plus-plus raw will always appeal to scouts, but many evaluators have put 40 or lower grades on his hit tool, and a lack of accuracy mitigates his plus arm strength.",https://www.youtube.com/results?search_query=luca+tresh+mlb+draft,0,-1,Med,,0,0
2021,63,,Hunter Goodman,C,ColH,21.76,73,210,L,R,Memphis,,40,,High,"Goodman offers plenty of power and a good approach, but there's some swing and miss in his game and he's a fringy defender.",https://www.youtube.com/results?search_query=hunter+goodman+mlb+draft,0,-2,Med,,1,0
2021,64,,Ricky Tiedemann,SP,JCp,18.90,76,200,L,L,Golden West College,,40,,High,"A 6-foot-4 lefty with decent command of three average or better offerings, Tiedemann frustrated and at times confused scouts with his inability to keep runs off the board at the junior college level this spring.",https://www.youtube.com/results?search_query=ricky+tiedemann+mlb+draft,0,0,Med,,0,0
2021,65,,James Wood,1B,HSh,18.82,78,230,L,L,IMG Academy,Mississippi St.,40,,High,Wood is a giant corner power bat whose swing is actually pretty short for how large he is. He's 1B/DH only so he has to rake. It's a scary profile with huge power potential.,https://www.youtube.com/results?search_query=james+wood+mlb+draft,1,0,Long,,0,0
2021,66,,Ryan Bliss,2B,ColH,21.58,69,165,R,R,Auburn,,40,,Low,"Bliss is on the small side and not especially toolsy, but he's a potential plus bat with surprising pop for his size. Most scouts see him at second base as a pro.",https://www.youtube.com/results?search_query=ryan+bliss+mlb+draft,0,1,Med,,1,0
2021,67,,Jackson Merrill,3B,HSh,18.23,74,180,L,R,Severna HS,Kentucky,40,,High,"Merrill has a good-looking swing and projectable frame as well as a shot to stick on the dirt, though he may shift from SS to 3B in pro ball.",https://www.youtube.com/results?search_query=jackson+merrill+mlb+draft,1,0,Med,,0,0
2021,68,,Isaiah Thomas,CF,ColH,21.25,74,190,R,R,Vanderbilt,,40,,High,"Thomas has an ideal baseball frame and huge raw power. He's also performed fairly well in the best college conference in the country. His approach leads to concerningly walk and strikeout ratios and his wristy swing is atypical, but there's very exciting raw material to work with here. Thomas is a high-variance college prospect.",https://www.youtube.com/results?search_query=isaiah+thomas+mlb+draft,2,1,Long,,0,0
2021,69,,Niko Kavadas,DH,ColH,22.71,73,235,L,R,Notre Dame,,40,,Low,"As an Indiana-based beefy first baseman with plenty of walks and some of the best exit velocities in the class, Kavadas draws some unavoidable comparisons to Kyle Schwarber.",https://www.youtube.com/results?search_query=niko+kavadas+mlb+draft,-2,-2,Med,,2,0
2021,70,,Ian Moller,C,HSh,18.71,73,197,R,R,Wahlert HS,LSU,40,,High,"High school catching is notoriously risky; from the last decade or so, only Austin Hedges has come from the prep catching ranks and seized an everyday job. The beating catchers take on their way to the big leagues often dilutes their offensive ability or slows their progress, but Moller has the requisite athleticism and arm strength to catch, and he's also one of the more well-rounded high school hitters in the class, regardless of position. He has incredible hitting hands, which generate impact lift, but he swings and misses a lot and had a rough spring. HHe may end up going to school.",https://www.youtube.com/results?search_query=ian+moller+mlb+draft,1,1,Short,60,1,0
2021,71,,Jac Caglianone,SP,HSp,18.42,77,215,L,L,Plant HS,Florida,40,,High,"Coming from the same Tampa high school factory that produced currently big leaguers Kyle Tucker, Mychal Givens and Jake Woodford, as well as Hall of Famer Wade Boggs, Caglianone is a bit of a project as a physical lefty who has consistently gotten into the mid-90s this spring, but the remainder of his game is quite raw.",https://www.youtube.com/results?search_query=jac+caglianone+mlb+draft,0,0,Med,,0,0