"Inn","Score","Out","RoB","Pit.cnt.","R.O","X.Bat","Batter","Pitcher","wWPA","wWE","Play.Description","Date","Result","value"
"b7","5-3","0","1--","5,(2-2) SBBCX","","SFG","Barry Bonds","Javier Lopez","4%","94%","Single to CF (Line Drive); Snow to 3B",2004-07-07,"Single",1
"b8","8-4","2","--3","4,(3-0) IIII","","SFG","Barry Bonds","Steve Reed","0%","99%","Intentional Walk",2004-07-07,"Walk",1
"b1","0-0","2","1--","5,(2-2) CBFBC","O","SFG","Barry Bonds","Elmer Dessens","2%","50%","Strikeout Looking",2004-07-08,"Strikeout",1
"b4","0-3","0","---","3,(1-1) FBX","","SFG","Barry Bonds","Elmer Dessens","-4%","74%","Single to CF (Line Drive)",2004-07-08,"Single",1
"b5","3-4","2","---","2,(0-1) CX","O","SFG","Barry Bonds","Andrew Good","2%","66%","Flyball: RF",2004-07-08,"Flyball",1
"b8","3-8","0","---","2,(0-1) CX","","SFG","Barry Bonds","Andrew Good","-2%","96%","Double to RF (Line Drive to RF Line)",2004-07-08,"Double",1
"b9","4-8","2","---","4,(2-1) BBCX","","SFG","Barry Bonds","Mike Koplove","0%","99%","Single to RF (Ground Ball thru CF-RF)",2004-07-08,"Single",1
"b1","1-0","1","-2-","4,(1-2) CFBX","R","SFG","Barry Bonds","Randy Johnson","7%","73%","Single to CF (Line Drive); Perez Scores",2004-07-09,"Single",1
"b3","2-2","2","---","3,(2-0) BBX","O","SFG","Barry Bonds","Randy Johnson","-1%","50%","Lineout: 3B",2004-07-09,"Lineout",1
"b5","3-3","2","12-","4,(3-0) IIII","","SFG","Barry Bonds","Randy Johnson","4%","59%","Intentional Walk; Durham to 3B; Perez to 2B",2004-07-09,"Walk",1
"b7","7-3","1","---","5,(3-1) CBBBB","","SFG","Barry Bonds","Greg Aquino","0%","97%","Walk",2004-07-09,"Walk",1
"b1","0-0","2","-2-","4,(3-0) IIII","","SFG","Barry Bonds","Brandon Webb","1%","54%","Intentional Walk",2004-07-10,"Walk",1
"b3","0-0","1","-2-","4,(3-0) IIII","","SFG","Barry Bonds","Brandon Webb","2%","60%","Intentional Walk",2004-07-10,"Walk",1
"b5","2-0","2","---","1,(0-0) X","","SFG","Barry Bonds","Brandon Webb","1%","79%","Single to LF (Line Drive)",2004-07-10,"Single",1
"b7","2-0","1","-2-","4,(3-0) IIII","","SFG","Barry Bonds","Brandon Webb","1%","90%","Intentional Walk",2004-07-10,"Walk",1
"t1","0-0","2","1--","8,(3-2) CBFFBFBX","","SFG","Barry Bonds","Jason Jennings","3%","50%","Single to CF (Ground Ball); Snow to 3B",2004-07-15,"Single",1
"t3","1-2","0","1--","6,(3-2) BCFBB>S","O","SFG","Barry Bonds","Jason Jennings","-2%","41%","Strikeout Swinging, Snow Steals 2B",2004-07-15,"Strikeout",1
"t4","3-2","1","-23","4,(3-0) IIII","","SFG","Barry Bonds","Jason Jennings","1%","71%","Intentional Walk",2004-07-15,"Walk",1
"t6","3-4","2","1-3","4,(3-0) IIII","","SFG","Barry Bonds","Javier Lopez","4%","39%","Intentional Walk; Snow to 2B",2004-07-15,"Walk",1
"t8","3-4","2","-2-","4,(3-0) IIII","","SFG","Barry Bonds","Tim Harikkala","2%","25%","Intentional Walk",2004-07-15,"Walk",1
"t9","7-4","2","-2-","6,(3-2) BBFFB.S","O","SFG","Barry Bonds","Shawn Chacon","-1%","95%","Strikeout Swinging",2004-07-15,"Strikeout",1
"t2","0-2","0","---","2,(1-0) BX","","SFG","Barry Bonds","Shawn Estes","-4%","65%","Single to CF (Line Drive)",2004-07-16,"Single",1
"t4","1-2","0","-2-","5,(3-1) BBCBX","O","SFG","Barry Bonds","Shawn Estes","2%","56%","Groundout: 1B-P; Feliz to 3B",2004-07-16,"Groundout",1
"t6","1-5","1","1--","1,(0-0) X","O","SFG","Barry Bonds","Shawn Estes","2%","92%","Groundout: 2B-1B (Short RF); Feliz to 2B",2004-07-16,"Groundout",1
"t8","1-7","1","-2-","6,(3-2) BBFBFX","O","SFG","Barry Bonds","Shawn Estes","1%","99%","Groundout: SS-1B; Feliz to 3B",2004-07-16,"Groundout",1
"t2","0-0","0","---","1,(0-0) X","O","SFG","Barry Bonds","Aaron Cook","-2%","48%","Groundout: 2B-1B",2004-07-17,"Groundout",1
"t4","1-0","1","--3","4,(3-0) IIII","","SFG","Barry Bonds","Aaron Cook","2%","68%","Intentional Walk",2004-07-17,"Walk",1
"t6","2-0","2","-2-","4,(3-0) IIII","","SFG","Barry Bonds","Aaron Cook","1%","75%","Intentional Walk",2004-07-17,"Walk",1
"t8","2-0","1","12-","5,(3-1) BBBFX","RR","SFG","Barry Bonds","Javier Lopez","9%","96%","Double to RF (Line Drive to Deep RF); Tucker Scores; Snow Scores",2004-07-17,"Double",1
"t1","1-0","1","-2-","4,(3-0) IIII","","SFG","Barry Bonds","Adam Bernero","-2%","38%","Intentional Walk",2004-07-18,"Walk",1
"t3","3-1","0","12-","3,(1-1) FBX","","SFG","Barry Bonds","Adam Bernero","-5%","18%","Single to RF (Line Drive); Tucker to 3B; Snow to 2B",2004-07-18,"Single",1
"t5","5-3","1","---","2,(0-1) FX","","SFG","Barry Bonds","Jeff Fassero","-2%","27%","Single to CF (Ground Ball)",2004-07-18,"Single",1
"t7","5-5","1","1--","9,(3-2) BBSFB>F>FF>X","O","SFG","Barry Bonds","Jeff Fassero","3%","53%","Groundout: 1B-P; Snow to 2B",2004-07-18,"Groundout",1
"t9","8-6","1","---","3,(1-1) CBX","R","SFG","Barry Bonds","Tim Harikkala","-5%","5%","Home Run (Fly Ball to CF-RF)",2004-07-18,"Home Run",1
"t1","0-0","1","-23","4,(2-1) BBFX","RO","SFG","Barry Bonds","Randy Johnson","0%","58%","Groundout: 2B-1B; Perez Scores; Feliz to 3B",2004-07-20,"Groundout",1
"t3","3-0","1","---","2,(0-1) CX","O","SFG","Barry Bonds","Randy Johnson","-1%","76%","Popfly: 3B (Short LF)",2004-07-20,"Popfly",1
"t5","3-0","2","1--","2,(0-1) SX","O","SFG","Barry Bonds","Randy Johnson","-1%","80%","Flyball: CF (Deep CF-RF)",2004-07-20,"Flyball",1
"t8","3-0","1","---","2,(1-0) BX","","SFG","Barry Bonds","Mike Fetters","1%","93%","Double to LF (Fly Ball to Deep LF-CF)",2004-07-20,"Double",1
"b2","0-3","0","---","2,(1-0) BX","O","SFG","Barry Bonds","Jake Peavy","2%","77%","Foul Popfly: C (Behind Home)",2004-07-21,"Foul Out",1
"b4","1-4","1","---","1,(0-0) X","O","SFG","Barry Bonds","Jake Peavy","2%","82%","Lineout: RF (Deep RF)",2004-07-21,"Lineout",1
"b7","1-5","0","---","3,(2-0) ..BBX","O","SFG","Barry Bonds","Jake Peavy","2%","95%","Popfly: 3B",2004-07-21,"Popfly",1
"b9","1-7","1","---","1,(0-0) X","O","SFG","Barry Bonds","Blaine Neal","0%","100%","Groundout: 3B-1B",2004-07-21,"Groundout",1
"b2","0-0","0","---","5,(3-1) BCBBX","","SFG","Barry Bonds","David Wells","-6%","39%","Double to CF (Fly Ball to Deep RF)",2004-07-22,"Double",1
"b3","2-6","2","1--","2,(1-0) *BX","O","SFG","Barry Bonds","David Wells","2%","87%","Groundout: 1B unassisted",2004-07-22,"Groundout",1
"b5","2-7","2","1--","7,(2-2) BB+1CFFFX","","SFG","Barry Bonds","David Wells","-1%","93%","Single to RF (Ground Ball); Grissom to 2B",2004-07-22,"Single",1
"b6","4-8","2","12-","4,(3-0) BBBI","","SFG","Barry Bonds","Blaine Neal","-3%","87%","Intentional Walk; Cruz to 3B; Grissom to 2B",2004-07-22,"Walk",1
"b8","4-8","2","1--","5,(3-1) CBBBB","","SFG","Barry Bonds","Rod Beck","-1%","96%","Walk; Durham to 2B",2004-07-22,"Walk",1
"t1","0-0","2","1--","2,(0-1) CX","O","SFG","Barry Bonds","Jeff Suppan","-2%","45%","Groundout: 1B unassisted",2004-07-23,"Groundout",1
"t4","0-0","0","1--","4,(3-0) BBBB","","SFG","Barry Bonds","Jeff Suppan","7%","61%","Walk; Snow to 2B",2004-07-23,"Walk",1
"t5","3-0","1","1--","4,(2-1) BBFX","OO","SFG","Barry Bonds","Jeff Suppan","-3%","81%","Ground Ball Double Play: 1B-SS",2004-07-23,"Groundout",1
"t7","3-0","2","1-3","5,(3-1) BBCBX","RRR","SFG","Barry Bonds","Jeff Suppan","9%","98%","Home Run (Fly Ball); Tucker Scores; Snow Scores",2004-07-23,"Home Run",1
"t9","7-2","2","---","3,(2-0) BBX","O","SFG","Barry Bonds","Ray King","0%","99%","Groundout: 1B unassisted",2004-07-23,"Groundout",1
"t1","0-0","2","-2-","4,(2-1) BBCX","O","SFG","Barry Bonds","Chris Carpenter","-3%","45%","Groundout: 2B-1B",2004-07-24,"Groundout",1
"t4","1-1","0","---","6,(3-2) CBFBBX","O","SFG","Barry Bonds","Chris Carpenter","-3%","47%","Groundout: P-1B",2004-07-24,"Groundout",1
"t6","1-1","2","---","4,(2-1) BBCX","","SFG","Barry Bonds","Chris Carpenter","2%","46%","Single to CF (Line Drive)",2004-07-24,"Single",1
"t8","2-2","2","-2-","4,(3-0) IIII","","SFG","Barry Bonds","Chris Carpenter","1%","48%","Intentional Walk",2004-07-24,"Walk",1
"t10","5-3","0","---","9,(3-2) CFBFFBFBX","O","SFG","Barry Bonds","Ray King","-1%","92%","Foul Popfly: 3B (3B into Foul Terr.)",2004-07-24,"Foul Out",1
"t2","0-0","0","---","4,(3-0) BBBB","","SFG","Barry Bonds","Jake Peavy","-4%","46%","Walk",2004-07-26,"Walk",1
"t4","0-0","1","---","6,(3-2) CBFBBB","","SFG","Barry Bonds","Jake Peavy","-3%","50%","Walk",2004-07-26,"Walk",1
"t6","0-2","1","-23","4,(3-0) IIII","","SFG","Barry Bonds","Jake Peavy","-3%","64%","Intentional Walk",2004-07-26,"Walk",1
"t8","2-3","0","---","6,(3-2) ..BFBBCB","","SFG","Barry Bonds","Akinori Otsuka","-9%","67%","Walk",2004-07-26,"Walk",1
"t1","0-0","1","1-3","2,(1-0) BX","RR","SFG","Barry Bonds","David Wells","14%","71%","Double to LF (Fly Ball to Deep LF); Durham Scores; Cruz Scores",2004-07-27,"Double",1
"t3","4-1","0","---","4,(1-2) BCSX","O","SFG","Barry Bonds","David Wells","-1%","80%","Groundout: 3B-1B",2004-07-27,"Groundout",1
"t5","4-2","1","---","6,(3-2) BCBBCX","O","SFG","Barry Bonds","David Wells","-1%","74%","Groundout: 1B unassisted",2004-07-27,"Groundout",1
"t7","6-3","2","---","2,(1-0) BX","O","SFG","Barry Bonds","Blaine Neal","0%","89%","Flyball: CF (Deep CF)",2004-07-27,"Flyball",1
"t2","0-0","0","---","5,(3-1) BBBCB","","SFG","Barry Bonds","Brian Lawrence","-4%","46%","Walk",2004-07-28,"Walk",1
"t4","0-2","2","---","3,(1-1) FBX","O","SFG","Barry Bonds","Brian Lawrence","1%","80%","Lineout: 3B",2004-07-28,"Lineout",1
"t7","1-8","0","---","2,(1-0) ...BX","O","SFG","Barry Bonds","Ricky Stone","0%","100%","Flyball: LF (Short LF)",2004-07-28,"Flyball",1
"t1","1-0","1","1--","5,(3-1) B*BC*B>X","O","SFG","Barry Bonds","Ismael Valdez","2%","41%","Groundout: 1B unassisted; Tucker to 2B",2004-07-29,"Groundout",1
"t4","1-1","0","1--","2,(1-0) BX","RR","SFG","Barry Bonds","Ismael Valdez","-20%","26%","Home Run (Fly Ball); Feliz Scores",2004-07-29,"Home Run",1
"t6","3-4","1","---","3,(1-1) BCX","","SFG","Barry Bonds","Ismael Valdez","-7%","64%","Double to RF (Line Drive to Deep RF Line)",2004-07-29,"Double",1
"t9","4-7","0","---","3,(1-1) .FBX","O","SFG","Barry Bonds","Trevor Hoffman","2%","99%","Popfly: 1B",2004-07-29,"Popfly",1
"b1","1-0","1","--3","2,(1-0) B.X","RR","SFG","Barry Bonds","Chris Carpenter","-11%","21%","Home Run (Fly Ball); Snow Scores",2004-07-30,"Home Run",1
"b3","3-0","2","1--","5,(2-2) BFCBX","O","SFG","Barry Bonds","Chris Carpenter","1%","19%","Flyball: LF",2004-07-30,"Flyball",1
"b5","3-0","2","---","7,(3-2) CBFFBBX","O","SFG","Barry Bonds","Chris Carpenter","1%","14%","Groundout: 1B-P",2004-07-30,"Groundout",1
"b8","4-7","0","---","1,(0-0) H","","SFG","Barry Bonds","Ray King","-5%","86%","Hit By Pitch",2004-07-30,"HBP",1
"b1","2-0","0","-2-","5,(1-2) BFSFX","O","SFG","Barry Bonds","Matt Morris","-1%","77%","Groundout: 2B-1B; Snow to 3B",2004-07-31,"Groundout",1
"b2","8-0","0","---","6,(3-2) CSBBBB","","SFG","Barry Bonds","Dan Haren","0%","98%","Walk",2004-07-31,"Walk",1
"b4","8-1","0","1--","2,(1-0) *BX","O","SFG","Barry Bonds","Dan Haren","0%","98%","Groundout: 2B-SS/Forceout at 2B",2004-07-31,"Groundout",1
"b7","8-5","0","---","5,(2-2) BCBFC","O","SFG","Barry Bonds","Steve Kline","-1%","93%","Strikeout Looking",2004-07-31,"Strikeout",1
"b1","0-2","1","12-","1,(0-0) X","O","SFG","Barry Bonds","Woody Williams","5%","65%","Flyball: LF (Deep LF)",2004-08-01,"Flyball",1
"b3","1-2","0","---","1,(0-0) X","O","SFG","Barry Bonds","Woody Williams","3%","59%","Popfly: SS",2004-08-01,"Popfly",1
"b5","1-2","2","---","11,(3-2) BFFFBBFFFFX","O","SFG","Barry Bonds","Woody Williams","2%","66%","Flyball: RF (Deep RF)",2004-08-01,"Flyball",1
"b8","1-4","2","---","6,(1-2) CFBFFX","O","SFG","Barry Bonds","Ray King","1%","96%","Groundout: 1B-P",2004-08-01,"Groundout",1
"b1","0-0","1","1-3","4,(1-2) CF*BX","RO","SFG","Barry Bonds","Cory Lidle","2%","63%","Groundout: P-3B-1B; Durham Scores; Ledee to 2B",2004-08-03,"Groundout",1
"b3","1-0","2","1-3","1,(0-0) X","RRR","SFG","Barry Bonds","Cory Lidle","21%","88%","Home Run (Fly Ball); Ledee Scores/unER; Snow Scores/unER; Bonds Scores/unER",2004-08-03,"Home Run",1
"b5","5-0","1","-2-","4,(3-0) IIII","","SFG","Barry Bonds","Cory Lidle","0%","96%","Intentional Walk",2004-08-03,"Walk",1
"b7","6-0","0","---","5,(2-2) CBBFX","R","SFG","Barry Bonds","Cory Lidle","0%","100%","Home Run (Line Drive to CF-RF)",2004-08-03,"Home Run",1
"b1","0-0","2","1--","5,(3-1) BBBFX","","SFG","Barry Bonds","Jose Acevedo","-2%","46%","Single to RF (Ground Ball); Durham to 2B",2004-08-04,"Single",1
"b4","0-4","0","---","1,(0-0) X","O","SFG","Barry Bonds","Jose Acevedo","2%","87%","Groundout: 2B-1B (Short RF)",2004-08-04,"Groundout",1
"b5","2-5","2","1--","5,(3-1) BCBBB","","SFG","Barry Bonds","Jose Acevedo","-2%","81%","Walk; Snow to 2B",2004-08-04,"Walk",1
"b6","6-7","2","-2-","4,(3-0) IIII","","SFG","Barry Bonds","Phil Norton","-2%","61%","Intentional Walk",2004-08-04,"Walk",1
"b8","7-8","2","1--","2,(0-1) CX","O","SFG","Barry Bonds","Gabe White","7%","83%","Groundout: 2B-1B (Short RF)",2004-08-04,"Groundout",1
"b2","0-0","0","---","7,(3-2) BFBSFBB","","SFG","Barry Bonds","Matt Clement","4%","59%","Walk",2004-08-06,"Walk",1
"b4","3-1","0","---","4,(3-0) BBBB","","SFG","Barry Bonds","Matt Clement","2%","81%","Walk",2004-08-06,"Walk",1
"b5","4-2","1","1--","3,(1-1) CBX","O","SFG","Barry Bonds","Matt Clement","-2%","79%","Popfly: 2B",2004-08-06,"Popfly",1
"b7","6-2","0","12-","1,(0-0) .X","O","SFG","Barry Bonds","Kent Mercker","0%","98%","Single to RF (Line Drive); Perez to 3B; Feliz out at 3B/RF-1B-SS; Bonds to 2B/Adv on throw",2004-08-06,"Single",1
"b1","0-0","1","1-3","2,(1-0) BX","RO","SFG","Barry Bonds","Greg Maddux","-1%","38%","Flyball: CF/Sacrifice Fly (Deep CF); Durham Scores",2004-08-07,"Flyball",1
"b3","1-0","1","1--","5,(3-1) BBCBB","","SFG","Barry Bonds","Greg Maddux","-3%","30%","Walk; Snow to 2B",2004-08-07,"Walk",1
"b5","3-4","2","---","1,(0-0) X","O","SFG","Barry Bonds","Greg Maddux","2%","66%","Flyball: RF (Deep RF)",2004-08-07,"Flyball",1
"b7","4-6","1","-2-","5,(2-2) FBFBX","O","SFG","Barry Bonds","Mike Remlinger","6%","80%","Flyball: CF (Deep CF); Mohr to 3B",2004-08-07,"Flyball",1
"b9","4-8","1","---","8,(2-2) CBFFBFFX","","SFG","Barry Bonds","LaTroy Hawkins","-1%","98%","Ground-rule Double/Fan Interference (Ground Ball); Bonds to 2B",2004-08-07,"Double",1
"b1","0-0","2","-2-","5,(3-1) B.BCBB","","SFG","Barry Bonds","Kerry Wood","1%","54%","Walk",2004-08-08,"Walk",1
"b3","2-2","1","---","4,(1-2) BCFX","","SFG","Barry Bonds","Kerry Wood","3%","56%","Single to LF (Line Drive to LF-CF)",2004-08-08,"Single",1
"b5","3-2","0","---","5,(3-1) BBCBB","","SFG","Barry Bonds","Kerry Wood","3%","74%","Walk",2004-08-08,"Walk",1
"b7","3-2","0","1--","2,(0-1) .C>X","O","SFG","Barry Bonds","Kent Mercker","2%","84%","Groundout: 2B-1B; Feliz to 3B",2004-08-08,"Groundout",1
"b8","6-3","2","12-","5,(1-2) *BCCFX","O","SFG","Barry Bonds","Mike Remlinger","-1%","96%","Popfly: 3B",2004-08-08,"Popfly",1
"t1","0-0","2","-2-","5,(3-1) BBSBB","","SFG","Barry Bonds","Josh Fogg","-1%","51%","Walk",2004-08-10,"Walk",1
"t3","1-0","0","1--","7,(3-2) CBBFB>F>B","","SFG","Barry Bonds","Josh Fogg","-5%","30%","Walk; Alfonzo to 2B",2004-08-10,"Walk",1
"t4","3-1","2","1-3","5,(3-1) CBB*BX","O","SFG","Barry Bonds","Josh Fogg","4%","31%","Flyball: RF (Deep RF)",2004-08-10,"Flyball",1
"t7","3-4","0","---","7,(3-2) .CCFB*BBX","R","SFG","Barry Bonds","John Grabow","-19%","50%","Home Run (Fly Ball to CF-RF)",2004-08-10,"Home Run",1
"t8","6-4","2","---","4,(1-2) CBSC","O","SFG","Barry Bonds","David Williams","1%","17%","Strikeout Looking",2004-08-10,"Strikeout",1
"t1","0-0","0","123","6,(3-2) SSBBBB","R","SFG","Barry Bonds","Sean Burnett","-8%","26%","Walk; Durham Scores; Mohr to 3B; Feliz to 2B",2004-08-11,"Walk",1
"t3","3-3","1","--3","5,(3-1) BFBBI","","SFG","Barry Bonds","Sean Burnett","-2%","43%","Intentional Walk",2004-08-11,"Walk",1
"t5","4-6","1","---","1,(0-0) X","O","SFG","Barry Bonds","Sean Burnett","2%","80%","Foul Popfly: 3B (3B into Foul Terr.)",2004-08-11,"Foul Out",1
"t7","4-6","2","---","4,(2-1) BBFX","O","SFG","Barry Bonds","Mike Gonzalez","1%","89%","Groundout: 1B unassisted",2004-08-11,"Groundout",1
"t10","6-6","0","---","4,(3-0) BBII","","SFG","Barry Bonds","Jose Mesa","-8%","42%","Intentional Walk",2004-08-11,"Walk",1
"t1","0-0","2","-2-","1,(0-0) X","R","SFG","Barry Bonds","Ryan Vogelsong","10%","58%","Double to CF (Fly Ball to Deep CF); Snow Scores",2004-08-12,"Double",1
"t3","1-0","1","1--","5,(3-1) BBBCB","","SFG","Barry Bonds","Ryan Vogelsong","3%","65%","Walk; Snow to 2B",2004-08-12,"Walk",1
"t4","3-0","2","12-","2,(1-0) *BX","O","SFG","Barry Bonds","Ryan Vogelsong","-3%","78%","Lineout: CF",2004-08-12,"Lineout",1
"t7","3-0","0","12-","6,(3-2) CBBBFB","","SFG","Barry Bonds","David Williams","2%","95%","Walk; Snow to 3B; Alfonzo to 2B",2004-08-12,"Walk",1
"t1","2-0","1","---","5,(3-1) BCBBB","","SFG","Barry Bonds","Brett Myers","2%","68%","Walk",2004-08-13,"Walk",1
"t3","2-5","1","-23","4,(3-0) IIII","","SFG","Barry Bonds","Brett Myers","2%","31%","Intentional Walk",2004-08-13,"Walk",1
"t4","6-5","2","-23","5,(3-1) FB.III","","SFG","Barry Bonds","Brian Powell","1%","64%","Intentional Walk",2004-08-13,"Walk",1
"t5","13-5","2","-2-","2,(0-1) CX","R","SFG","Barry Bonds","Amaury Telemaco","1%","99%","Single to RF (Line Drive to Deep RF Line); Feliz Scores",2004-08-13,"Single",1
"t7","15-5","1","---","2,(1-0) BX","R","SFG","Barry Bonds","Amaury Telemaco","0%","100%","Home Run (Line Drive)",2004-08-13,"Home Run",1
"t8","7-6","1","---","4,(3-0) .IIII","","SFG","Barry Bonds","Felix Rodriguez","3%","74%","Intentional Walk",2004-08-14,"Walk",1
"t1","0-0","2","-2-","4,(3-0) IIII","","SFG","Barry Bonds","Vicente Padilla","1%","49%","Intentional Walk",2004-08-15,"Walk",1
"t4","0-0","0","---","1,(0-0) X","O","SFG","Barry Bonds","Vicente Padilla","-3%","47%","Flyball: CF (Deep CF)",2004-08-15,"Flyball",1
"t7","0-1","0","---","6,(3-2) BCBFBB","","SFG","Barry Bonds","Vicente Padilla","7%","38%","Walk",2004-08-15,"Walk",1
"t9","2-1","0","---","7,(2-2) SCBFBFX","O","SFG","Barry Bonds","Rheal Cormier","-2%","81%","Groundout: 2B-1B (Short RF)",2004-08-15,"Groundout",1
"b1","0-2","2","-2-","4,(3-0) IIII","","SFG","Barry Bonds","John Patterson","1%","35%","Intentional Walk",2004-08-16,"Walk",1
"b4","0-3","0","1--","3,(0-2) CFC","O","SFG","Barry Bonds","John Patterson","-4%","22%","Strikeout Looking",2004-08-16,"Strikeout",1
"b5","4-4","0","---","5,(3-1) BBCBB","","SFG","Barry Bonds","Francis Beltran","5%","61%","Walk",2004-08-16,"Walk",1
"b7","5-4","0","---","6,(3-2) .BBCFBX","O","SFG","Barry Bonds","Joe Horgan","-2%","77%","Popfly: 3B",2004-08-16,"Popfly",1
"b8","7-5","2","12-","4,(3-0) BBBB","","SFG","Barry Bonds","Chad Cordero","1%","94%","Walk; Durham to 3B; Snow to 2B",2004-08-16,"Walk",1
"b2","0-1","0","---","1,(0-0) X","R","SFG","Barry Bonds","Sun-Woo Kim","11%","55%","Home Run (Line Drive)",2004-08-17,"Home Run",1
"b4","1-1","1","1--","7,(1-2) CBCFFFX","RR","SFG","Barry Bonds","Sun-Woo Kim","21%","77%","Home Run (Fly Ball); Alfonzo Scores",2004-08-17,"Home Run",1
"b5","3-1","2","1-3","6,(3-2) BC+2F>B.II","","SFG","Barry Bonds","Sun-Woo Kim","1%","82%","Intentional Walk; Alfonzo to 2B",2004-08-17,"Walk",1
"b7","4-2","2","---","6,(3-2) BCBBCX","O","SFG","Barry Bonds","Joey Eischen","-1%","86%","Flyball: CF (Deep CF)",2004-08-17,"Flyball",1
"b8","2-3","1","12-","2,(1-0) .BX","OO","SFG","Barry Bonds","Luis Ayala","24%","83%","Double Play: Foul Popfly: 3B (3B into Foul Terr.); Mohr out at 2B/3B-2B",2004-08-18,"Double",1
"b1","0-1","1","-23","4,(3-0) IIII","","SFG","Barry Bonds","T.J. Tucker","1%","55%","Intentional Walk",2004-08-18,"Walk",1
"b3","2-1","1","1--","5,(3-1) IBBCB","","SFG","Barry Bonds","T.J. Tucker","3%","70%","Walk; Feliz to 2B",2004-08-18,"Walk",1
"b4","8-1","0","---","4,(2-1) ..BBCX","","SFG","Barry Bonds","Claudio Vargas","0%","98%","Single to CF (Ground Ball)",2004-08-18,"Single",1
"b5","10-1","2","---","1,(0-0) X","R","SFG","Barry Bonds","Francis Beltran","0%","100%","Home Run (Fly Ball to CF-RF)",2004-08-18,"Home Run",1
"b1","2-0","1","---","2,(0-1) CX","","SFG","Barry Bonds","Steve Trachsel","2%","73%","Single to RF (Line Drive)",2004-08-20,"Single",1
"b2","5-0","2","1--","6,(3-2) BBCC*B>X","R","SFG","Barry Bonds","Steve Trachsel","3%","94%","Single to CF (Line Drive); Alfonzo Scores/Adv on E8/No RBI/unER; Bonds to 2B",2004-08-20,"Single",1
"b4","6-0","2","---","4,(2-1) BBCX","","SFG","Barry Bonds","Steve Trachsel","0%","97%","Double to CF (Line Drive to Deep CF-RF)",2004-08-20,"Double",1
"b6","7-0","2","1--","3,(1-1) BFX","O","SFG","Barry Bonds","Dan Wheeler","0%","99%","Groundout: SS-1B (Short RF)",2004-08-20,"Groundout",1
"b1","1-0","1","-2-","6,(3-2) BCCBBB","","SFG","Barry Bonds","Tom Glavine","-2%","32%","Walk",2004-08-21,"Walk",1
"b3","2-0","0","---","5,(3-1) BBFBX","","SFG","Barry Bonds","Tom Glavine","-7%","17%","Triple to CF (Line Drive to Deep RF)",2004-08-21,"Triple",1
"b5","3-6","0","---","4,(3-0) BBBB","","SFG","Barry Bonds","Tom Glavine","-4%","76%","Walk",2004-08-21,"Walk",1
